Date,High_Temp
2006-01-01,39.72
2006-01-02,44.15
2006-01-03,36.2
2006-01-04,36.66
2006-01-05,48.62
2006-01-06,38.78
2006-01-07,33.63
2006-01-08,44.56
2006-01-09,58.06
2006-01-10,47.71
2006-01-11,46.77
2006-01-12,56.14
2006-01-13,45.58
2006-01-14,54.94
2006-01-15,25.61
2006-01-16,30.58
2006-01-17,38.53
2006-01-18,57.68
2006-01-19,45.17
2006-01-20,59.65
2006-01-21,61.14
2006-01-22,40.86
2006-01-23,38.89
2006-01-24,44.0
2006-01-25,41.61
2006-01-26,34.31
2006-01-27,41.47
2006-01-28,56.86
2006-01-29,47.32
2006-01-30,60.2
2006-01-31,40.63
2006-02-01,40.18
2006-02-02,49.51
2006-02-03,60.65
2006-02-04,47.86
2006-02-05,46.43
2006-02-06,38.01
2006-02-07,42.26
2006-02-08,35.01
2006-02-09,35.0
2006-02-10,36.07
2006-02-11,35.84
2006-02-12,25.39
2006-02-13,34.98
2006-02-14,40.58
2006-02-15,53.1
2006-02-16,56.51
2006-02-17,56.1
2006-02-18,33.55
2006-02-19,29.06
2006-02-20,35.43
2006-02-21,39.77
2006-02-22,42.74
2006-02-23,45.65
2006-02-24,36.53
2006-02-25,47.72
2006-02-26,26.9
2006-02-27,28.79
2006-02-28,32.23
2006-03-01,40.66
2006-03-02,31.65
2006-03-03,32.25
2006-03-04,38.33
2006-03-05,44.92
2006-03-06,41.33
2006-03-07,42.55
2006-03-08,47.49
2006-03-09,50.6
2006-03-10,72.86
2006-03-11,62.71
2006-03-12,51.71
2006-03-13,61.58
2006-03-14,59.13
2006-03-15,43.77
2006-03-16,46.28
2006-03-17,44.85
2006-03-18,41.46
2006-03-19,40.03
2006-03-20,39.57
2006-03-21,42.62
2006-03-22,42.79
2006-03-23,50.97
2006-03-24,49.72
2006-03-25,45.99
2006-03-26,49.47
2006-03-27,56.91
2006-03-28,53.93
2006-03-29,61.02
2006-03-30,65.32
2006-03-31,67.6
2006-04-01,70.77
2006-04-02,65.45
2006-04-03,54.2
2006-04-04,53.25
2006-04-05,45.43
2006-04-06,51.41
2006-04-07,61.29
2006-04-08,51.2
2006-04-09,56.01
2006-04-10,58.7
2006-04-11,65.08
2006-04-12,64.06
2006-04-13,75.17
2006-04-14,62.53
2006-04-15,77.98
2006-04-16,65.07
2006-04-17,60.53
2006-04-18,70.36
2006-04-19,72.78
2006-04-20,80.68
2006-04-21,58.44
2006-04-22,46.48
2006-04-23,59.39
2006-04-24,59.09
2006-04-25,69.07
2006-04-26,55.97
2006-04-27,70.58
2006-04-28,60.27
2006-04-29,62.44
2006-04-30,67.79
2006-05-01,69.12
2006-05-02,66.25
2006-05-03,68.56
2006-05-04,79.65
2006-05-05,78.21
2006-05-06,73.89
2006-05-07,63.25
2006-05-08,61.48
2006-05-09,61.69
2006-05-10,64.63
2006-05-11,59.63
2006-05-12,67.1
2006-05-13,68.76
2006-05-14,59.76
2006-05-15,60.38
2006-05-16,63.14
2006-05-17,69.42
2006-05-18,72.13
2006-05-19,60.13
2006-05-20,66.83
2006-05-21,66.7
2006-05-22,63.36
2006-05-23,65.53
2006-05-24,72.24
2006-05-25,75.7
2006-05-26,72.42
2006-05-27,81.65
2006-05-28,80.59
2006-05-29,88.13
2006-05-30,84.82
2006-05-31,74.49
2006-06-01,85.63
2006-06-02,78.15
2006-06-03,64.33
2006-06-04,66.73
2006-06-05,69.89
2006-06-06,69.88
2006-06-07,60.88
2006-06-08,65.36
2006-06-09,73.88
2006-06-10,64.85
2006-06-11,68.93
2006-06-12,72.13
2006-06-13,80.21
2006-06-14,77.11
2006-06-15,78.56
2006-06-16,83.99
2006-06-17,83.26
2006-06-18,90.45
2006-06-19,87.01
2006-06-20,83.66
2006-06-21,80.74
2006-06-22,86.49
2006-06-23,85.36
2006-06-24,72.35
2006-06-25,73.67
2006-06-26,76.39
2006-06-27,78.06
2006-06-28,84.41
2006-06-29,83.07
2006-06-30,80.43
2006-07-01,83.92
2006-07-02,88.77
2006-07-03,87.62
2006-07-04,87.07
2006-07-05,76.35
2006-07-06,76.06
2006-07-07,79.61
2006-07-08,81.42
2006-07-09,83.03
2006-07-10,82.39
2006-07-11,87.34
2006-07-12,81.88
2006-07-13,82.57
2006-07-14,84.6
2006-07-15,81.06
2006-07-16,91.25
2006-07-17,94.86
2006-07-18,95.13
2006-07-19,84.6
2006-07-20,81.53
2006-07-21,84.59
2006-07-22,79.42
2006-07-23,77.22
2006-07-24,83.58
2006-07-25,83.47
2006-07-26,84.66
2006-07-27,87.44
2006-07-28,89.89
2006-07-29,89.41
2006-07-30,88.94
2006-07-31,90.09
2006-08-01,96.71
2006-08-02,97.1
2006-08-03,96.56
2006-08-04,85.58
2006-08-05,87.53
2006-08-06,81.63
2006-08-07,86.33
2006-08-08,84.65
2006-08-09,81.77
2006-08-10,82.8
2006-08-11,76.94
2006-08-12,77.18
2006-08-13,79.63
2006-08-14,85.24
2006-08-15,81.09
2006-08-16,83.88
2006-08-17,82.04
2006-08-18,80.3
2006-08-19,80.3
2006-08-20,88.38
2006-08-21,83.52
2006-08-22,83.55
2006-08-23,84.95
2006-08-24,79.1
2006-08-25,72.42
2006-08-26,68.39
2006-08-27,69.73
2006-08-28,77.01
2006-08-29,68.74
2006-08-30,72.54
2006-08-31,70.94
2006-09-01,67.49
2006-09-02,64.34
2006-09-03,75.36
2006-09-04,74.54
2006-09-05,69.03
2006-09-06,74.22
2006-09-07,77.82
2006-09-08,80.48
2006-09-09,81.85
2006-09-10,71.33
2006-09-11,67.04
2006-09-12,67.32
2006-09-13,68.28
2006-09-14,67.29
2006-09-15,66.41
2006-09-16,76.92
2006-09-17,78.79
2006-09-18,80.89
2006-09-19,78.67
2006-09-20,69.87
2006-09-21,66.43
2006-09-22,69.0
2006-09-23,74.19
2006-09-24,79.59
2006-09-25,70.58
2006-09-26,71.45
2006-09-27,70.82
2006-09-28,72.72
2006-09-29,61.63
2006-09-30,64.39
2006-10-01,67.86
2006-10-02,67.49
2006-10-03,78.1
2006-10-04,77.53
2006-10-05,62.0
2006-10-06,56.83
2006-10-07,62.15
2006-10-08,69.58
2006-10-09,78.56
2006-10-10,74.43
2006-10-11,62.56
2006-10-12,68.66
2006-10-13,54.51
2006-10-14,58.72
2006-10-15,56.46
2006-10-16,60.17
2006-10-17,57.1
2006-10-18,71.61
2006-10-19,67.0
2006-10-20,65.35
2006-10-21,56.84
2006-10-22,58.82
2006-10-23,53.01
2006-10-24,50.49
2006-10-25,53.36
2006-10-26,49.83
2006-10-27,49.51
2006-10-28,64.97
2006-10-29,52.52
2006-10-30,61.06
2006-10-31,67.49
2006-11-01,67.52
2006-11-02,52.18
2006-11-03,47.03
2006-11-04,46.09
2006-11-05,49.37
2006-11-06,56.83
2006-11-07,58.46
2006-11-08,58.6
2006-11-09,66.95
2006-11-10,60.12
2006-11-11,65.15
2006-11-12,61.0
2006-11-13,60.4
2006-11-14,60.22
2006-11-15,61.28
2006-11-16,67.28
2006-11-17,62.3
2006-11-18,50.38
2006-11-19,46.84
2006-11-20,43.71
2006-11-21,45.25
2006-11-22,45.03
2006-11-23,43.17
2006-11-24,57.83
2006-11-25,51.54
2006-11-26,58.35
2006-11-27,62.51
2006-11-28,57.17
2006-11-29,56.62
2006-11-30,65.66
2006-12-01,67.2
2006-12-02,48.58
2006-12-03,45.32
2006-12-04,38.35
2006-12-05,36.16
2006-12-06,48.6
2006-12-07,52.73
2006-12-08,28.85
2006-12-09,38.5
2006-12-10,53.77
2006-12-11,56.2
2006-12-12,46.01
2006-12-13,53.48
2006-12-14,55.64
2006-12-15,51.3
2006-12-16,49.9
2006-12-17,56.09
2006-12-18,57.46
2006-12-19,44.75
2006-12-20,44.77
2006-12-21,52.38
2006-12-22,44.6
2006-12-23,58.35
2006-12-24,51.39
2006-12-25,43.75
2006-12-26,53.06
2006-12-27,42.94
2006-12-28,46.8
2006-12-29,47.09
2006-12-30,47.18
2006-12-31,44.1
2007-01-01,53.78
2007-01-02,46.33
2007-01-03,51.65
2007-01-04,54.96
2007-01-05,58.07
2007-01-06,70.31
2007-01-07,49.75
2007-01-08,53.92
2007-01-09,43.04
2007-01-10,34.62
2007-01-11,36.96
2007-01-12,48.29
2007-01-13,54.41
